Fed Id: -259593376, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: -259593376, Round - 3, Clients Trained: [8082], Accuracy: 0.6459
Fed Id: -259593376, Round - 4, Clients Trained: [8082], Accuracy: 0.6608
Fed Id: -259593376, Round - 5, Clients Trained: [8082], Accuracy: 0.664
Fed Id: -259593376, Round - 6, Clients Trained: [8082], Accuracy: 0.6753
Fed Id: -259593376, Round - 7, Clients Trained: [8082], Accuracy: 0.6808
Fed Id: -259593376, Round - 8, Clients Trained: [8082], Accuracy: 0.6931
Fed Id: -259593376, Round - 9, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1455180640, Round - 0, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: -236205216, Round - 0, Clients Trained: [8082], Accuracy: 0.4972
Fed Id: -1713009824, Round - 0, Clients Trained: [8082], Accuracy: 0.5132
Fed Id: -1713009824, Round - 1, Clients Trained: [8082], Accuracy: 0.5099
Fed Id: -1713009824, Round - 2, Clients Trained: [8082], Accuracy: 0.5099
Fed Id: -1713009824, Round - 3, Clients Trained: [8082], Accuracy: 0.6474
Fed Id: -1713009824, Round - 4, Clients Trained: [8082], Accuracy: 0.6951
Fed Id: -1713009824, Round - 5, Clients Trained: [8082], Accuracy: 0.6951
Fed Id: -1713009824, Round - 6, Clients Trained: [8082], Accuracy: 0.7167
Fed Id: -1713009824, Round - 7, Clients Trained: [8082], Accuracy: 0.7244
Fed Id: -1713009824, Round - 8, Clients Trained: [8082], Accuracy: 0.7321
Fed Id: -1713009824, Round - 9, Clients Trained: [8082], Accuracy: 0.7406
Fed Id: -1713009824, Round - 10, Clients Trained: [8082], Accuracy: 0.7478
Fed Id: -1713009824, Round - 11, Clients Trained: [8082], Accuracy: 0.7513
Fed Id: -1713009824, Round - 12, Clients Trained: [8082], Accuracy: 0.7616
Fed Id: -987306128, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
Fed Id: -987306128, Round - 1, Clients Trained: [8082], Accuracy: 0.6243
Fed Id: -987306128, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: -1152333968, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
Fed Id: -1152333968, Round - 1, Clients Trained: [8082], Accuracy: 0.6243
Fed Id: -1152333968, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: -1152333968, Round - 3, Clients Trained: [8082], Accuracy: 0.6459
Fed Id: 384, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
Fed Id: 384, Round - 1, Clients Trained: [8082], Accuracy: 0.6243
Fed Id: 384, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: 384, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
Fed Id: 384, Round - 1, Clients Trained: [8082], Accuracy: 0.6243
Fed Id: 384, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: 384, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
Fed Id: 384, Round - 1, Clients Trained: [8082], Accuracy: 0.6243
Fed Id: 384, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: 384, Round - 3, Clients Trained: [8082], Accuracy: 0.6459
Fed Id: 384, Round - 4, Clients Trained: [8082], Accuracy: 0.6608
Fed Id: 384, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
Fed Id: 384, Round - 1, Clients Trained: [8082], Accuracy: 0.6243
Fed Id: 384, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: 384, Round - 3, Clients Trained: [8082], Accuracy: 0.6459
Fed Id: 384, Round - 4, Clients Trained: [8082], Accuracy: 0.6608
Fed Id: 384, Round - 5, Clients Trained: [8082], Accuracy: 0.664
Fed Id: 384, Round - 6, Clients Trained: [8082], Accuracy: 0.6753
Fed Id: 384, Round - 7, Clients Trained: [8082], Accuracy: 0.6808
Fed Id: 384, Round - 8, Clients Trained: [8082], Accuracy: 0.6931
Fed Id: 384, Round - 9, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
