Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.67
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.762
Fed Id: 8081, Round - 2, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.8
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.662
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.758
Fed Id: 8081, Round - 2, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.796
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.66
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.764
Fed Id: 8081, Round - 2, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.794
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.644
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.762
Fed Id: 8081, Round - 2, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.796
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.66
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.762
Fed Id: 8081, Round - 2, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.79
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.654
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.762
Fed Id: 8081, Round - 2, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.788
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.662
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.764
Fed Id: 8081, Round - 2, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.792
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.67
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.766
Fed Id: 8081, Round - 2, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.794
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.65
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.752
Fed Id: 8081, Round - 2, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.796
Fed Id: 8081, Round - 3, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.812
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.672
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.632
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.754
Fed Id: 8081, Round - 2, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.79
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.64
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.748
Fed Id: 8081, Round - 2, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.788
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.658
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.764
Fed Id: 8081, Round - 2, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.794
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.656
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.762
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.656
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.768
Fed Id: 8081, Round - 2, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.794
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.642
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.756
Fed Id: 8081, Round - 2, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.792
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.656
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.766
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.66
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.762
Fed Id: 8081, Round - 2, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.792
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.642
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.766
Fed Id: 8081, Round - 2, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.798
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.646
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.766
Fed Id: 8081, Round - 2, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.794
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.662
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.766
Fed Id: 8081, Round - 2, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.788
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.658
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.77
Fed Id: 8081, Round - 2, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.794
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.666
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.76
Fed Id: 8081, Round - 2, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.79
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.65
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.762
Fed Id: 8081, Round - 2, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.79
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.632
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.754
Fed Id: 8081, Round - 2, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.794
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.658
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.664
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.646
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.764
Fed Id: 8081, Round - 2, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.794
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8085.wt], Accuracy: 0.662
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.66
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8085.wt], Accuracy: 0.646
Fed Id: 8081, Round - 3, Clients Trained: [./public/cluster/8081/127.0.0.1_8085.wt], Accuracy: 0.764
Fed Id: 8081, Round - 0, Clients Trained: [./public/cluster/8081/127.0.0.1_8085.wt], Accuracy: 0.652
Fed Id: 8081, Round - 1, Clients Trained: [./public/cluster/8081/127.0.0.1_8084.wt], Accuracy: 0.66
