Fed Id: 0, Round - 6, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 0, Round - 7, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 0, Round - 8, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 0, Round - 9, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 0, Round - 10, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 0, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 2, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 2, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 0, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 0, Round - 2, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 0, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 0, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 0, Round - 2, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 0, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 2, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 2, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 0, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 0, Round - 2, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 0, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 0, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 0, Round - 2, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: -1494181344, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: -1494181344, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: -1494181344, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: -1494181344, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1148236704, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1148236704, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1148236704, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1148236704, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1148236704, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1148236704, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1148236704, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1148236704, Round - 1, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1148236704, Round - 0, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1148236704, Round - 1, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1148236704, Round - 0, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1148236704, Round - 1, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1148236704, Round - 0, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1148236704, Round - 1, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1148236704, Round - 0, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1148236704, Round - 1, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1148236704, Round - 0, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1148236704, Round - 1, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1148236704, Round - 0, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1148236704, Round - 1, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 523596704, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 523596704, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 523596704, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 523596704, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 523596704, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 523596704, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 523596704, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 523596704, Round - 1, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 523596704, Round - 0, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 523596704, Round - 1, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 523596704, Round - 0, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 523596704, Round - 1, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 523596704, Round - 0, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 523596704, Round - 1, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1890223008, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1890223008, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1890223008, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1890223008, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1890223008, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1890223008, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1890223008, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1890223008, Round - 1, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1890223008, Round - 0, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1890223008, Round - 1, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1890223008, Round - 0, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1890223008, Round - 1, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1890223008, Round - 0, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1890223008, Round - 1, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1890223008, Round - 0, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1890223008, Round - 1, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1890223008, Round - 0, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1890223008, Round - 1, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1890223008, Round - 0, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1890223008, Round - 1, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1679958048, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1679958048, Round - 1, Clients Trained: [8086,8088], Accuracy: 0.4972
Fed Id: 1679958048, Round - 2, Clients Trained: [8086,8088,8089], Accuracy: 0.5099
Fed Id: 1679958048, Round - 3, Clients Trained: [8086,8088,8089], Accuracy: 0.5099
Fed Id: 1679958048, Round - 4, Clients Trained: [8086,8088,8089], Accuracy: 0.5776
Fed Id: 1679958048, Round - 5, Clients Trained: [8086,8088,8089], Accuracy: 0.5776
Fed Id: 1679958048, Round - 6, Clients Trained: [8086,8088,8089], Accuracy: 0.5776
Fed Id: 1679958048, Round - 7, Clients Trained: [8086,8088,8089], Accuracy: 0.6428
Fed Id: 1679958048, Round - 8, Clients Trained: [8086,8088,8089], Accuracy: 0.6428
Fed Id: 1679958048, Round - 9, Clients Trained: [8086,8088,8089], Accuracy: 0.6428
Fed Id: 1679958048, Round - 10, Clients Trained: [8086,8088,8089], Accuracy: 0.6428
Fed Id: 1679958048, Round - 11, Clients Trained: [8086,8088,8089], Accuracy: 0.6428
Fed Id: 1679958048, Round - 12, Clients Trained: [8086,8088,8089], Accuracy: 0.6428
Fed Id: 1679958048, Round - 13, Clients Trained: [8086,8088,8089], Accuracy: 0.6428
Fed Id: 1679958048, Round - 14, Clients Trained: [8086,8088,8089], Accuracy: 0.6428
Fed Id: 1679958048, Round - 15, Clients Trained: [8086,8088,8089], Accuracy: 0.6428
Fed Id: 1679958048, Round - 16, Clients Trained: [8086,8088,8089], Accuracy: 0.6428
Fed Id: 1679958048, Round - 17, Clients Trained: [8086,8088,8089], Accuracy: 0.6428
Fed Id: 1679958048, Round - 18, Clients Trained: [8086,8088,8089], Accuracy: 0.6428
Fed Id: 1679958048, Round - 19, Clients Trained: [8086,8088,8089], Accuracy: 0.6428
Fed Id: 1679958048, Round - 20, Clients Trained: [8086,8088,8089], Accuracy: 0.6428
Fed Id: 1679958048, Round - 21, Clients Trained: [8086,8088,8089], Accuracy: 0.6428
Fed Id: 1679958048, Round - 22, Clients Trained: [8086,8088,8089], Accuracy: 0.6428
Fed Id: 1679958048, Round - 23, Clients Trained: [8086,8088,8089], Accuracy: 0.6428
Fed Id: 1679958048, Round - 24, Clients Trained: [8086,8088,8089], Accuracy: 0.6428
Fed Id: 1679958048, Round - 25, Clients Trained: [8086,8088,8089], Accuracy: 0.6428
Fed Id: 1679958048, Round - 26, Clients Trained: [8086,8088,8089], Accuracy: 0.6428
Fed Id: 1679958048, Round - 27, Clients Trained: [8086,8088,8089], Accuracy: 0.6428
Fed Id: 1679958048, Round - 28, Clients Trained: [8086,8088,8089], Accuracy: 0.6428
Fed Id: 1679958048, Round - 29, Clients Trained: [8086,8088,8089], Accuracy: 0.6428
